Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
75792,5833,12_Brüssel_S1.jpg,19,283,478,739,p33,color
75793,6116,12_Brüssel_S1.jpg,20,183,475,691,p33,color
75794,6299,12_Brüssel_S1.jpg,21,266,515,721,p33,color
75795,6566,12_Brüssel_S1.jpg,22,183,590,810,p33,color
75796,6749,12_Brüssel_S1.jpg,23,183,692,917,p33,color
75797,6932,12_Brüssel_S1.jpg,24,200,710,963,p33,color
75798,7132,12_Brüssel_S1.jpg,25,216,676,979,p33,color
75799,7349,12_Brüssel_S1.jpg,26,216,670,851,p33,color
75800,7565,12_Brüssel_S1.jpg,27,133,680,913,p33,color
75801,7699,12_Brüssel_S1.jpg,28,133,1147,964,p33,color
75802,7832,12_Brüssel_S1.jpg,29,117,1178,993,p33,color
75803,7948,12_Brüssel_S1.jpg,30,316,1221,990,p33,color
75804,8265,12_Brüssel_S1.jpg,31,200,979,788,p33,color
75805,8465,12_Brüssel_S1.jpg,32,166,921,750,p33,color
75806,8631,12_Brüssel_S1.jpg,33,283,884,403,p33,color
75807,8914,12_Brüssel_S1.jpg,34,133,719,303,p33,color
75808,9048,12_Brüssel_S1.jpg,35,649,620,367,p33,color
75809,9697,12_Brüssel_S1.jpg,36,300,708,912,p33,color
75810,9997,12_Brüssel_S1.jpg,37,183,1212,972,p33,color
75811,10180,12_Brüssel_S1.jpg,38,250,1190,1017,p33,color
75812,10430,12_Brüssel_S1.jpg,39,433,1235,980,p33,color
75813,10863,12_Brüssel_S1.jpg,40,466,1409,1016,p33,color
75814,11329,12_Brüssel_S1.jpg,41,266,894,1017,p33,color
75815,11596,12_Brüssel_S1.jpg,42,166,708,999,p33,color
75816,11762,12_Brüssel_S1.jpg,43,167,778,1007,p33,color
75817,11929,12_Brüssel_S1.jpg,44,133,984,1021,p33,color
75818,12062,12_Brüssel_S1.jpg,45,250,1212,1020,p33,color
75819,12312,12_Brüssel_S1.jpg,46,216,1139,1029,p33,color
75820,12529,12_Brüssel_S1.jpg,47,266,1060,1019,p33,color
75821,12795,12_Brüssel_S1.jpg,48,749,965,1027,p33,color
75822,13545,12_Brüssel_S1.jpg,49,266,1150,1034,p33,color
75823,13811,12_Brüssel_S1.jpg,50,266,1012,888,p33,color
75824,14078,12_Brüssel_S1.jpg,51,216,1447,788,p33,color
75825,14294,12_Brüssel_S1.jpg,52,200,1433,603,p33,color
75826,14494,12_Brüssel_S1.jpg,53,150,1369,541,p33,color
75827,14644,12_Brüssel_S1.jpg,54,400,1447,516,p33,color
75828,15044,12_Brüssel_S1.jpg,55,183,1211,157,p33,color
75829,15227,12_Brüssel_S1.jpg,56,216,1062,108,p33,color
75830,15443,12_Brüssel_S1.jpg,57,200,439,471,p33,color
75831,15643,12_Brüssel_S1.jpg,58,983,466,432,p33,color
75832,16626,12_Brüssel_S1.jpg,59,183,511,660,p33,color
75833,16809,12_Brüssel_S1.jpg,60,183,520,737,p33,color
75834,16992,12_Brüssel_S1.jpg,61,216,655,841,p33,color
75835,17209,12_Brüssel_S1.jpg,62,250,649,803,p33,color
75836,17459,12_Brüssel_S1.jpg,63,1649,668,959,p33,color
75837,19107,12_Brüssel_S1.jpg,64,383,689,1001,p33,color
75838,19491,12_Brüssel_S1.jpg,65,383,929,1034,p33,color
75839,19874,12_Brüssel_S1.jpg,66,100,969,1053,p33,color
75840,19973,12_Brüssel_S1.jpg,67,233,1062,1034,p33,color
75841,20207,12_Brüssel_S1.jpg,68,283,972,1024,p33,color
75842,20490,12_Brüssel_S1.jpg,69,250,929,1018,p33,color
75843,20740,12_Brüssel_S1.jpg,70,250,964,1024,p33,color
75844,20989,12_Brüssel_S1.jpg,71,117,1138,1031,p33,color
75845,21106,12_Brüssel_S1.jpg,72,133,1081,1022,p33,color
75846,21239,12_Brüssel_S1.jpg,73,250,1267,1017,p33,color
75847,21489,12_Brüssel_S1.jpg,74,450,1434,1013,p33,color
75848,21939,12_Brüssel_S1.jpg,75,416,1368,1014,p33,color
75849,22355,12_Brüssel_S1.jpg,76,150,1167,907,p33,color
