Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
97343,6795,02_Berlin_S2.jpg,13,150,771,296,p39,color
97344,6944,02_Berlin_S2.jpg,14,250,716,479,p39,color
97345,7194,02_Berlin_S2.jpg,15,283,808,239,p39,color
97346,7477,02_Berlin_S2.jpg,16,816,786,165,p39,color
97347,8293,02_Berlin_S2.jpg,17,167,881,226,p39,color
97348,8460,02_Berlin_S2.jpg,18,750,786,803,p39,color
97349,9210,02_Berlin_S2.jpg,19,283,984,414,p39,color
97350,9493,02_Berlin_S2.jpg,20,216,1068,348,p39,color
97351,9709,02_Berlin_S2.jpg,21,333,1281,444,p39,color
97352,10042,02_Berlin_S2.jpg,22,150,1264,507,p39,color
97353,10192,02_Berlin_S2.jpg,23,167,1261,757,p39,color
97354,10359,02_Berlin_S2.jpg,24,150,1277,846,p39,color
97355,10509,02_Berlin_S2.jpg,25,283,1269,738,p39,color
97356,10792,02_Berlin_S2.jpg,26,200,1222,429,p39,color
97357,10992,02_Berlin_S2.jpg,27,316,982,278,p39,color
97358,11308,02_Berlin_S2.jpg,28,283,912,216,p39,color
97359,11591,02_Berlin_S2.jpg,29,266,842,168,p39,color
97360,11858,02_Berlin_S2.jpg,30,300,1163,368,p39,color
97361,12157,02_Berlin_S2.jpg,31,333,1247,464,p39,color
97362,12491,02_Berlin_S2.jpg,32,250,1026,254,p39,color
97363,12740,02_Berlin_S2.jpg,33,216,1307,595,p39,color
97364,12957,02_Berlin_S2.jpg,34,233,1284,883,p39,color
97365,13190,02_Berlin_S2.jpg,35,216,1280,921,p39,color
97366,13407,02_Berlin_S2.jpg,36,216,850,848,p39,color
97367,13623,02_Berlin_S2.jpg,37,766,788,840,p39,color
97368,14389,02_Berlin_S2.jpg,38,466,745,809,p39,color
97369,14856,02_Berlin_S2.jpg,39,583,786,810,p39,color
97370,15439,02_Berlin_S2.jpg,40,133,895,807,p39,color
97371,15572,02_Berlin_S2.jpg,41,1316,716,919,p39,color
97372,16888,02_Berlin_S2.jpg,42,1199,1279,920,p39,color
97373,18087,02_Berlin_S2.jpg,43,233,1276,841,p39,color
97374,18320,02_Berlin_S2.jpg,44,350,1265,924,p39,color
97375,18670,02_Berlin_S2.jpg,45,217,892,906,p39,color
97376,18886,02_Berlin_S2.jpg,46,433,699,915,p39,color
97377,19320,02_Berlin_S2.jpg,47,166,1192,917,p39,color
97378,19486,02_Berlin_S2.jpg,48,300,1270,917,p39,color
97379,19786,02_Berlin_S2.jpg,49,150,753,902,p39,color
97380,19936,02_Berlin_S2.jpg,50,316,699,915,p39,color
97381,20252,02_Berlin_S2.jpg,51,1849,715,805,p39,color
97382,22101,02_Berlin_S2.jpg,52,966,772,817,p39,color
