Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
11366,5785,20_Paris_S2.jpg,11,283,552,333,p14,color
11367,6068,20_Paris_S2.jpg,12,217,711,519,p14,color
11368,6285,20_Paris_S2.jpg,13,316,554,871,p14,color
11369,6601,20_Paris_S2.jpg,14,500,578,937,p14,color
11370,7101,20_Paris_S2.jpg,15,283,494,927,p14,color
11371,7384,20_Paris_S2.jpg,16,233,437,940,p14,color
11372,7617,20_Paris_S2.jpg,17,150,624,906,p14,color
11373,7767,20_Paris_S2.jpg,18,250,359,937,p14,color
11374,8017,20_Paris_S2.jpg,19,300,215,959,p14,color
11375,8316,20_Paris_S2.jpg,20,266,664,875,p14,color
11376,8583,20_Paris_S2.jpg,21,350,817,792,p14,color
11377,8933,20_Paris_S2.jpg,22,483,860,819,p14,color
11378,9416,20_Paris_S2.jpg,23,250,859,702,p14,color
11379,9666,20_Paris_S2.jpg,24,150,893,567,p14,color
11380,9815,20_Paris_S2.jpg,25,500,891,692,p14,color
11381,10315,20_Paris_S2.jpg,26,1532,894,598,p14,color
11382,11847,20_Paris_S2.jpg,27,200,843,573,p14,color
11383,12047,20_Paris_S2.jpg,28,217,688,562,p14,color
11384,12264,20_Paris_S2.jpg,29,233,569,561,p14,color
11385,12497,20_Paris_S2.jpg,30,266,440,576,p14,color
11386,12763,20_Paris_S2.jpg,31,316,480,576,p14,color
11387,13080,20_Paris_S2.jpg,32,383,577,559,p14,color
11388,13463,20_Paris_S2.jpg,33,749,485,544,p14,color
11389,14213,20_Paris_S2.jpg,34,233,417,564,p14,color
11390,14446,20_Paris_S2.jpg,35,167,266,565,p14,color
11391,14612,20_Paris_S2.jpg,36,400,213,570,p14,color
11392,15012,20_Paris_S2.jpg,37,316,564,549,p14,color
11393,15328,20_Paris_S2.jpg,38,266,646,527,p14,color
11394,15595,20_Paris_S2.jpg,39,783,862,566,p14,color
11395,16378,20_Paris_S2.jpg,40,233,878,463,p14,color
11396,16611,20_Paris_S2.jpg,41,316,881,338,p14,color
11397,16927,20_Paris_S2.jpg,42,300,896,589,p14,color
11398,17227,20_Paris_S2.jpg,43,716,868,790,p14,color
11399,17943,20_Paris_S2.jpg,44,350,831,828,p14,color
11400,18293,20_Paris_S2.jpg,45,167,644,897,p14,color
11401,18460,20_Paris_S2.jpg,46,383,855,812,p14,color
11402,18843,20_Paris_S2.jpg,47,333,883,771,p14,color
11403,19176,20_Paris_S2.jpg,48,183,858,818,p14,color
11404,19359,20_Paris_S2.jpg,49,217,816,799,p14,color
11405,19576,20_Paris_S2.jpg,50,133,861,815,p14,color
11406,19709,20_Paris_S2.jpg,51,333,899,713,p14,color
11407,20042,20_Paris_S2.jpg,52,200,908,567,p14,color
11408,20242,20_Paris_S2.jpg,53,366,908,624,p14,color
11409,20608,20_Paris_S2.jpg,54,550,902,579,p14,color
11410,21158,20_Paris_S2.jpg,55,416,925,502,p14,color
11411,21574,20_Paris_S2.jpg,56,1466,911,365,p14,color
11412,23040,20_Paris_S2.jpg,57,899,805,296,p14,color
11413,23939,20_Paris_S2.jpg,58,200,641,304,p14,color
11414,24139,20_Paris_S2.jpg,59,366,568,303,p14,color
11415,24506,20_Paris_S2.jpg,60,183,517,294,p14,color
11416,24689,20_Paris_S2.jpg,61,250,537,328,p14,color
11417,24939,20_Paris_S2.jpg,62,416,594,319,p14,color
11418,25355,20_Paris_S2.jpg,63,966,513,299,p14,color
