Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
93242,5325,03_Bordeaux_S2.jpg,15,17,906,660,p38,color
93243,5524,03_Bordeaux_S2.jpg,16,233,594,809,p38,color
93244,5758,03_Bordeaux_S2.jpg,17,116,901,764,p38,color
93245,5874,03_Bordeaux_S2.jpg,18,167,585,906,p38,color
93246,6207,03_Bordeaux_S2.jpg,19,283,681,861,p38,color
93247,6491,03_Bordeaux_S2.jpg,20,183,595,880,p38,color
93248,6674,03_Bordeaux_S2.jpg,21,167,789,782,p38,color
93249,6840,03_Bordeaux_S2.jpg,22,200,1016,817,p38,color
93250,7040,03_Bordeaux_S2.jpg,23,100,980,815,p38,color
93251,7140,03_Bordeaux_S2.jpg,24,133,1014,827,p38,color
93252,7273,03_Bordeaux_S2.jpg,25,150,1078,803,p38,color
93253,7423,03_Bordeaux_S2.jpg,26,283,1132,795,p38,color
93254,7706,03_Bordeaux_S2.jpg,27,167,1137,620,p38,color
93255,7873,03_Bordeaux_S2.jpg,28,183,1221,398,p38,color
93256,8056,03_Bordeaux_S2.jpg,29,283,1236,252,p38,color
93257,8339,03_Bordeaux_S2.jpg,30,383,1101,779,p38,color
93258,8722,03_Bordeaux_S2.jpg,31,233,1150,788,p38,color
93259,8956,03_Bordeaux_S2.jpg,32,166,1067,756,p38,color
93260,9122,03_Bordeaux_S2.jpg,33,250,1153,452,p38,color
93261,9372,03_Bordeaux_S2.jpg,34,233,1270,289,p38,color
93262,9605,03_Bordeaux_S2.jpg,35,183,1247,255,p38,color
93263,9788,03_Bordeaux_S2.jpg,36,200,1212,525,p38,color
93264,9988,03_Bordeaux_S2.jpg,37,100,1241,568,p38,color
93265,10088,03_Bordeaux_S2.jpg,38,200,1260,466,p38,color
93266,10288,03_Bordeaux_S2.jpg,39,899,1260,423,p38,color
93267,11187,03_Bordeaux_S2.jpg,40,300,1266,286,p38,color
93268,11487,03_Bordeaux_S2.jpg,41,500,1299,437,p38,color
93269,12386,03_Bordeaux_S2.jpg,42,100,1100,760,p38,color
93270,12486,03_Bordeaux_S2.jpg,43,350,812,766,p38,color
93271,12836,03_Bordeaux_S2.jpg,44,167,623,844,p38,color
93272,13003,03_Bordeaux_S2.jpg,45,166,1023,714,p38,color
93273,13336,03_Bordeaux_S2.jpg,46,300,1125,665,p38,color
93274,13636,03_Bordeaux_S2.jpg,47,233,1096,784,p38,color
93275,13869,03_Bordeaux_S2.jpg,48,916,1005,791,p38,color
93276,14785,03_Bordeaux_S2.jpg,49,600,1117,763,p38,color
93277,15384,03_Bordeaux_S2.jpg,50,166,1142,604,p38,color
93278,15551,03_Bordeaux_S2.jpg,51,167,1119,748,p38,color
93279,15718,03_Bordeaux_S2.jpg,52,100,1151,687,p38,color
93280,15817,03_Bordeaux_S2.jpg,53,200,1145,770,p38,color
93281,16017,03_Bordeaux_S2.jpg,54,250,1188,533,p38,color
93282,16267,03_Bordeaux_S2.jpg,55,216,1245,565,p38,color
93283,16484,03_Bordeaux_S2.jpg,56,250,1292,444,p38,color
93284,16733,03_Bordeaux_S2.jpg,57,266,1235,346,p38,color
93285,17000,03_Bordeaux_S2.jpg,58,166,1242,414,p38,color
93286,17166,03_Bordeaux_S2.jpg,59,217,1321,404,p38,color
93287,17383,03_Bordeaux_S2.jpg,60,699,1282,403,p38,color
93288,18083,03_Bordeaux_S2.jpg,61,233,1241,357,p38,color
93289,18316,03_Bordeaux_S2.jpg,62,100,1222,260,p38,color
93290,18416,03_Bordeaux_S2.jpg,63,117,1240,330,p38,color
93291,18532,03_Bordeaux_S2.jpg,64,133,1227,264,p38,color
93292,18665,03_Bordeaux_S2.jpg,65,150,1291,333,p38,color
93293,18815,03_Bordeaux_S2.jpg,66,183,1355,206,p38,color
93294,18999,03_Bordeaux_S2.jpg,67,300,1211,218,p38,color
93295,19298,03_Bordeaux_S2.jpg,68,133,1261,226,p38,color
93296,19432,03_Bordeaux_S2.jpg,69,133,1204,224,p38,color
93297,19565,03_Bordeaux_S2.jpg,70,217,1154,209,p38,color
93298,19781,03_Bordeaux_S2.jpg,71,166,1247,218,p38,color
