Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
35778,4777,07_Moskau_S1.jpg,12,283,1000,296,p20,color
35779,5060,07_Moskau_S1.jpg,13,100,161,335,p20,color
35780,5160,07_Moskau_S1.jpg,14,167,222,378,p20,color
35781,5493,07_Moskau_S1.jpg,15,117,107,393,p20,color
35782,5610,07_Moskau_S1.jpg,16,183,337,385,p20,color
35783,5793,07_Moskau_S1.jpg,17,400,417,538,p20,color
35784,6193,07_Moskau_S1.jpg,18,183,126,429,p20,color
35785,6376,07_Moskau_S1.jpg,19,316,111,342,p20,color
35786,6692,07_Moskau_S1.jpg,20,167,119,380,p20,color
35787,6859,07_Moskau_S1.jpg,21,433,434,542,p20,color
35788,7292,07_Moskau_S1.jpg,22,266,737,563,p20,color
35789,7559,07_Moskau_S1.jpg,23,1266,424,527,p20,color
35790,8824,07_Moskau_S1.jpg,24,300,524,453,p20,color
35791,9124,07_Moskau_S1.jpg,25,300,444,537,p20,color
35792,9424,07_Moskau_S1.jpg,26,416,715,562,p20,color
35793,9974,07_Moskau_S1.jpg,27,150,536,449,p20,color
35794,10123,07_Moskau_S1.jpg,28,266,582,379,p20,color
35795,10390,07_Moskau_S1.jpg,29,200,102,336,p20,color
35796,10590,07_Moskau_S1.jpg,30,400,67,315,p20,color
35797,10990,07_Moskau_S1.jpg,31,167,342,516,p20,color
35798,11156,07_Moskau_S1.jpg,32,283,688,546,p20,color
35799,11439,07_Moskau_S1.jpg,33,366,759,566,p20,color
35800,11806,07_Moskau_S1.jpg,34,216,398,558,p20,color
35801,12022,07_Moskau_S1.jpg,35,266,439,566,p20,color
35802,12422,07_Moskau_S1.jpg,36,1216,438,546,p20,color
35803,13638,07_Moskau_S1.jpg,37,266,748,556,p20,color
35804,13904,07_Moskau_S1.jpg,38,849,787,578,p20,color
35805,14754,07_Moskau_S1.jpg,39,233,922,559,p20,color
35806,14987,07_Moskau_S1.jpg,40,216,1049,560,p20,color
35807,15203,07_Moskau_S1.jpg,41,233,1239,557,p20,color
35808,15437,07_Moskau_S1.jpg,42,200,999,525,p20,color
35809,15637,07_Moskau_S1.jpg,43,250,899,554,p20,color
35810,16103,07_Moskau_S1.jpg,44,150,885,567,p20,color
35811,16253,07_Moskau_S1.jpg,45,233,1068,565,p20,color
35812,16486,07_Moskau_S1.jpg,46,183,1229,556,p20,color
35813,16669,07_Moskau_S1.jpg,47,183,1026,557,p20,color
35814,16852,07_Moskau_S1.jpg,48,200,840,553,p20,color
35815,17052,07_Moskau_S1.jpg,49,183,794,559,p20,color
35816,17235,07_Moskau_S1.jpg,50,233,525,535,p20,color
35817,17469,07_Moskau_S1.jpg,51,500,453,561,p20,color
35818,17968,07_Moskau_S1.jpg,52,283,443,503,p20,color
35819,18251,07_Moskau_S1.jpg,53,450,430,542,p20,color
35820,18701,07_Moskau_S1.jpg,54,166,459,519,p20,color
35821,18868,07_Moskau_S1.jpg,55,183,573,395,p20,color
35822,19051,07_Moskau_S1.jpg,56,183,733,328,p20,color
35823,19234,07_Moskau_S1.jpg,57,117,823,311,p20,color
35824,19351,07_Moskau_S1.jpg,58,183,1019,303,p20,color
35825,19534,07_Moskau_S1.jpg,59,600,1095,307,p20,color
35826,20133,07_Moskau_S1.jpg,60,266,1162,304,p20,color
35827,20550,07_Moskau_S1.jpg,61,916,1137,283,p20,color
35828,21466,07_Moskau_S1.jpg,62,250,1061,353,p20,color
35829,21716,07_Moskau_S1.jpg,63,200,1349,459,p20,color
35830,21916,07_Moskau_S1.jpg,64,200,1164,292,p20,color
35831,22115,07_Moskau_S1.jpg,65,583,1162,244,p20,color
35832,22698,07_Moskau_S1.jpg,66,416,1062,376,p20,color
35833,23115,07_Moskau_S1.jpg,67,466,1128,286,p20,color
35834,23581,07_Moskau_S1.jpg,68,333,1020,372,p20,color
35835,23914,07_Moskau_S1.jpg,69,200,928,503,p20,color
35836,24114,07_Moskau_S1.jpg,70,183,879,596,p20,color
