Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
69657,6161,07_Moskau_S2.jpg,12,400,1330,927,p30,color
69658,6561,07_Moskau_S2.jpg,13,200,1373,767,p30,color
69659,6761,07_Moskau_S2.jpg,14,167,1426,747,p30,color
69660,6927,07_Moskau_S2.jpg,15,333,1360,820,p30,color
69661,7261,07_Moskau_S2.jpg,16,416,1441,719,p30,color
69662,7677,07_Moskau_S2.jpg,17,200,1401,540,p30,color
69663,7877,07_Moskau_S2.jpg,18,383,1373,440,p30,color
69664,8260,07_Moskau_S2.jpg,19,166,1093,407,p30,color
69665,8426,07_Moskau_S2.jpg,20,150,1007,321,p30,color
69666,8576,07_Moskau_S2.jpg,21,266,1079,259,p30,color
69667,8843,07_Moskau_S2.jpg,22,183,1051,311,p30,color
69668,9026,07_Moskau_S2.jpg,23,183,907,286,p30,color
69669,9209,07_Moskau_S2.jpg,24,283,786,296,p30,color
69670,9492,07_Moskau_S2.jpg,25,167,984,297,p30,color
69671,9659,07_Moskau_S2.jpg,26,166,1045,312,p30,color
69672,9825,07_Moskau_S2.jpg,27,200,1083,294,p30,color
69673,10025,07_Moskau_S2.jpg,28,466,1007,386,p30,color
69674,10492,07_Moskau_S2.jpg,29,183,1206,456,p30,color
69675,10675,07_Moskau_S2.jpg,30,167,1285,480,p30,color
69676,10841,07_Moskau_S2.jpg,31,450,1311,419,p30,color
69677,11291,07_Moskau_S2.jpg,32,350,1417,605,p30,color
69678,11641,07_Moskau_S2.jpg,33,316,1336,430,p30,color
69679,11957,07_Moskau_S2.jpg,34,150,1214,418,p30,color
69680,12107,07_Moskau_S2.jpg,35,200,1312,407,p30,color
69681,12307,07_Moskau_S2.jpg,36,383,1331,377,p30,color
69682,12690,07_Moskau_S2.jpg,37,283,1325,427,p30,color
69683,12973,07_Moskau_S2.jpg,38,183,1316,377,p30,color
69684,13156,07_Moskau_S2.jpg,39,183,1157,434,p30,color
69685,13340,07_Moskau_S2.jpg,40,216,970,532,p30,color
69686,13556,07_Moskau_S2.jpg,41,283,839,560,p30,color
69687,13839,07_Moskau_S2.jpg,42,200,1197,843,p30,color
