Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
77732,6514,20_Paris_S2.jpg,16,316,544,897,p34,color
77733,6830,20_Paris_S2.jpg,17,700,577,927,p34,color
77734,7530,20_Paris_S2.jpg,18,683,620,933,p34,color
77735,8213,20_Paris_S2.jpg,19,283,568,835,p34,color
77736,8496,20_Paris_S2.jpg,20,466,693,863,p34,color
77737,8962,20_Paris_S2.jpg,21,200,657,894,p34,color
77738,9162,20_Paris_S2.jpg,22,183,632,770,p34,color
77739,9345,20_Paris_S2.jpg,23,383,578,674,p34,color
77740,9728,20_Paris_S2.jpg,24,233,658,853,p34,color
77741,9961,20_Paris_S2.jpg,25,183,713,866,p34,color
77742,10145,20_Paris_S2.jpg,26,450,613,728,p34,color
77743,10594,20_Paris_S2.jpg,27,316,567,647,p34,color
77744,10911,20_Paris_S2.jpg,28,733,609,672,p34,color
77745,11644,20_Paris_S2.jpg,29,316,693,886,p34,color
77746,11960,20_Paris_S2.jpg,30,200,650,922,p34,color
77747,12160,20_Paris_S2.jpg,31,150,714,875,p34,color
77748,12310,20_Paris_S2.jpg,32,233,536,573,p34,color
77749,12543,20_Paris_S2.jpg,33,749,469,546,p34,color
77750,13292,20_Paris_S2.jpg,34,250,552,659,p34,color
77751,13542,20_Paris_S2.jpg,35,133,486,426,p34,color
77752,13675,20_Paris_S2.jpg,36,266,532,351,p34,color
77753,13942,20_Paris_S2.jpg,37,400,566,329,p34,color
77754,14342,20_Paris_S2.jpg,38,516,502,311,p34,color
77755,14858,20_Paris_S2.jpg,39,300,448,348,p34,color
77756,15158,20_Paris_S2.jpg,40,400,419,393,p34,color
77757,15558,20_Paris_S2.jpg,41,400,505,311,p34,color
77758,16091,20_Paris_S2.jpg,42,899,502,309,p34,color
77759,16990,20_Paris_S2.jpg,43,216,414,401,p34,color
77760,17206,20_Paris_S2.jpg,44,333,547,769,p34,color
77761,17540,20_Paris_S2.jpg,45,200,273,671,p34,color
77762,17739,20_Paris_S2.jpg,46,117,160,665,p34,color
77763,17856,20_Paris_S2.jpg,47,117,430,474,p34,color
77764,17973,20_Paris_S2.jpg,48,366,452,408,p34,color
77765,18339,20_Paris_S2.jpg,49,633,574,333,p34,color
77766,18972,20_Paris_S2.jpg,50,250,638,795,p34,color
77767,19222,20_Paris_S2.jpg,51,416,716,891,p34,color
77768,19638,20_Paris_S2.jpg,52,266,634,800,p34,color
77769,19905,20_Paris_S2.jpg,53,300,605,731,p34,color
77770,20204,20_Paris_S2.jpg,54,300,699,871,p34,color
77771,20504,20_Paris_S2.jpg,55,383,641,921,p34,color
77772,20887,20_Paris_S2.jpg,56,383,600,946,p34,color
77773,21270,20_Paris_S2.jpg,57,200,678,904,p34,color
77774,21470,20_Paris_S2.jpg,58,167,699,862,p34,color
77775,21637,20_Paris_S2.jpg,59,283,611,623,p34,color
77776,21920,20_Paris_S2.jpg,60,167,595,657,p34,color
77777,22086,20_Paris_S2.jpg,61,466,482,557,p34,color
77778,22553,20_Paris_S2.jpg,62,200,525,386,p34,color
77779,22753,20_Paris_S2.jpg,63,749,574,326,p34,color
77780,23502,20_Paris_S2.jpg,64,583,498,323,p34,color
77781,24285,20_Paris_S2.jpg,65,266,627,793,p34,color
77782,24551,20_Paris_S2.jpg,66,216,711,881,p34,color
77783,24768,20_Paris_S2.jpg,67,316,617,939,p34,color
77784,25084,20_Paris_S2.jpg,68,333,518,1073,p34,color
77785,25418,20_Paris_S2.jpg,69,300,611,889,p34,color
77786,25717,20_Paris_S2.jpg,70,783,577,927,p34,color
77787,26500,20_Paris_S2.jpg,71,167,675,936,p34,color
77788,26667,20_Paris_S2.jpg,72,450,569,931,p34,color
77789,27116,20_Paris_S2.jpg,73,550,680,745,p34,color
77790,31047,22_Venedig_S2.jpg,82,200,687,643,p34,color
77791,31247,22_Venedig_S2.jpg,83,233,720,616,p34,color
77792,31480,22_Venedig_S2.jpg,84,283,576,666,p34,color
