Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
60002,4770,09_Tokyo_S1.jpg,12,183,530,694,p28,color
60003,4953,09_Tokyo_S1.jpg,13,200,295,848,p28,color
60004,5153,09_Tokyo_S1.jpg,14,233,323,902,p28,color
60005,5386,09_Tokyo_S1.jpg,15,133,376,839,p28,color
60006,5520,09_Tokyo_S1.jpg,16,117,390,775,p28,color
60007,5636,09_Tokyo_S1.jpg,17,150,418,732,p28,color
60008,5786,09_Tokyo_S1.jpg,18,167,591,632,p28,color
60009,5953,09_Tokyo_S1.jpg,19,266,846,608,p28,color
60010,6219,09_Tokyo_S1.jpg,20,200,1008,625,p28,color
60011,6419,09_Tokyo_S1.jpg,21,200,1122,634,p28,color
60012,6619,09_Tokyo_S1.jpg,22,450,1405,618,p28,color
60013,7069,09_Tokyo_S1.jpg,23,166,1396,487,p28,color
60014,7235,09_Tokyo_S1.jpg,24,133,1401,415,p28,color
60015,7368,09_Tokyo_S1.jpg,25,433,1212,392,p28,color
60016,7801,09_Tokyo_S1.jpg,26,949,1143,384,p28,color
60017,8751,09_Tokyo_S1.jpg,27,683,1403,397,p28,color
60018,9434,09_Tokyo_S1.jpg,28,300,1381,633,p28,color
60019,9733,09_Tokyo_S1.jpg,29,400,887,606,p28,color
60020,10133,09_Tokyo_S1.jpg,30,1149,705,658,p28,color
60021,11282,09_Tokyo_S1.jpg,31,616,1044,488,p28,color
60022,11899,09_Tokyo_S1.jpg,32,333,946,572,p28,color
60023,12232,09_Tokyo_S1.jpg,33,350,344,802,p28,color
60024,12582,09_Tokyo_S1.jpg,34,333,643,848,p28,color
60025,12915,09_Tokyo_S1.jpg,35,833,309,902,p28,color
60026,13747,09_Tokyo_S1.jpg,36,849,632,785,p28,color
60027,17511,15_Göteborg_S1.jpg,44,333,341,891,p28,color
60028,17845,15_Göteborg_S1.jpg,45,200,747,786,p28,color
60029,18044,15_Göteborg_S1.jpg,46,383,379,913,p28,color
60030,18427,15_Göteborg_S1.jpg,47,167,584,861,p28,color
60031,18594,15_Göteborg_S1.jpg,48,250,689,808,p28,color
60032,18844,15_Göteborg_S1.jpg,49,283,783,543,p28,color
60033,19127,15_Göteborg_S1.jpg,50,283,1018,513,p28,color
60034,19410,15_Göteborg_S1.jpg,51,183,1204,474,p28,color
60035,19593,15_Göteborg_S1.jpg,52,150,1341,428,p28,color
60036,19743,15_Göteborg_S1.jpg,53,250,1082,427,p28,color
60037,19993,15_Göteborg_S1.jpg,54,200,970,470,p28,color
60038,20193,15_Göteborg_S1.jpg,55,533,946,538,p28,color
60039,20726,15_Göteborg_S1.jpg,56,166,745,623,p28,color
60040,20892,15_Göteborg_S1.jpg,57,266,1021,533,p28,color
60041,21159,15_Göteborg_S1.jpg,58,117,987,465,p28,color
60042,21275,15_Göteborg_S1.jpg,59,550,980,373,p28,color
60043,21825,15_Göteborg_S1.jpg,60,217,751,552,p28,color
60044,22042,15_Göteborg_S1.jpg,61,250,739,502,p28,color
60045,22291,15_Göteborg_S1.jpg,62,233,439,813,p28,color
60046,22525,15_Göteborg_S1.jpg,63,100,338,906,p28,color
60047,22725,15_Göteborg_S1.jpg,64,266,309,866,p28,color
60048,22991,15_Göteborg_S1.jpg,65,400,342,890,p28,color
60049,23524,15_Göteborg_S1.jpg,66,650,346,877,p28,color
60050,24173,15_Göteborg_S1.jpg,67,150,592,848,p28,color
60051,24323,15_Göteborg_S1.jpg,68,233,700,792,p28,color
60052,24557,15_Göteborg_S1.jpg,69,316,799,514,p28,color
60053,24873,15_Göteborg_S1.jpg,70,150,769,564,p28,color
60054,25023,15_Göteborg_S1.jpg,71,233,1059,503,p28,color
60055,25256,15_Göteborg_S1.jpg,72,167,1171,467,p28,color
60056,25423,15_Göteborg_S1.jpg,73,333,1232,448,p28,color
60057,25756,15_Göteborg_S1.jpg,74,316,1190,343,p28,color
60058,26072,15_Göteborg_S1.jpg,75,200,1023,395,p28,color
60059,26272,15_Göteborg_S1.jpg,76,233,1035,497,p28,color
60060,26505,15_Göteborg_S1.jpg,77,1183,1046,419,p28,color
60061,27688,15_Göteborg_S1.jpg,78,749,1042,479,p28,color
60062,28437,15_Göteborg_S1.jpg,79,383,1044,404,p28,color
60063,28820,15_Göteborg_S1.jpg,80,333,986,397,p28,color
60064,29153,15_Göteborg_S1.jpg,81,233,1281,168,p28,color
60065,29386,15_Göteborg_S1.jpg,82,167,1319,78,p28,color
60066,29553,15_Göteborg_S1.jpg,83,250,831,-24,p28,color
60067,29803,15_Göteborg_S1.jpg,84,117,794,25,p28,color
60068,29920,15_Göteborg_S1.jpg,85,233,1329,-30,p28,color
60069,30153,15_Göteborg_S1.jpg,86,183,1286,11,p28,color
60070,30336,15_Göteborg_S1.jpg,87,383,902,521,p28,color
60071,30719,15_Göteborg_S1.jpg,88,250,653,760,p28,color
60072,30969,15_Göteborg_S1.jpg,89,233,997,521,p28,color
60073,31202,15_Göteborg_S1.jpg,90,217,775,103,p28,color
