Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
109447,5144,20_Paris_S2.jpg,12,150,644,701,p6,color
109448,5294,20_Paris_S2.jpg,13,150,539,835,p6,color
109449,5444,20_Paris_S2.jpg,14,1249,616,905,p6,color
109450,6693,20_Paris_S2.jpg,15,166,585,859,p6,color
109451,6859,20_Paris_S2.jpg,16,333,536,810,p6,color
109452,7193,20_Paris_S2.jpg,17,400,530,758,p6,color
109453,7592,20_Paris_S2.jpg,18,233,569,740,p6,color
109454,7825,20_Paris_S2.jpg,19,516,595,700,p6,color
109455,8342,20_Paris_S2.jpg,20,883,594,646,p6,color
109456,9225,20_Paris_S2.jpg,21,566,596,506,p6,color
109457,9791,20_Paris_S2.jpg,22,167,535,548,p6,color
109458,9957,20_Paris_S2.jpg,23,400,478,541,p6,color
109459,10357,20_Paris_S2.jpg,24,333,456,579,p6,color
109460,10690,20_Paris_S2.jpg,25,433,589,550,p6,color
109461,11123,20_Paris_S2.jpg,26,2099,474,539,p6,color
109462,13222,20_Paris_S2.jpg,27,183,469,455,p6,color
109463,13405,20_Paris_S2.jpg,28,183,480,383,p6,color
109464,13588,20_Paris_S2.jpg,29,133,520,376,p6,color
109465,13721,20_Paris_S2.jpg,30,1149,561,315,p6,color
109466,14871,20_Paris_S2.jpg,31,683,502,313,p6,color
109467,15554,20_Paris_S2.jpg,32,1066,570,307,p6,color
109468,16619,20_Paris_S2.jpg,33,516,741,322,p6,color
109469,17136,20_Paris_S2.jpg,34,1066,530,313,p6,color
109470,18202,20_Paris_S2.jpg,35,766,573,310,p6,color
109471,18968,20_Paris_S2.jpg,36,200,640,330,p6,color
109472,19168,20_Paris_S2.jpg,37,750,576,314,p6,color
109473,19917,20_Paris_S2.jpg,38,350,666,312,p6,color
109474,20267,20_Paris_S2.jpg,39,550,752,315,p6,color
109475,20817,20_Paris_S2.jpg,40,316,634,341,p6,color
109476,21133,20_Paris_S2.jpg,41,300,744,405,p6,color
109477,21433,20_Paris_S2.jpg,42,333,870,405,p6,color
109478,21766,20_Paris_S2.jpg,43,1099,809,377,p6,color
