Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
71753,6061,09_Tokyo_S2.jpg,16,233,250,985,p31,color
71754,6294,09_Tokyo_S2.jpg,17,150,313,978,p31,color
71755,6444,09_Tokyo_S2.jpg,18,417,432,850,p31,color
71756,6860,09_Tokyo_S2.jpg,19,166,394,842,p31,color
71757,7027,09_Tokyo_S2.jpg,20,216,244,982,p31,color
71758,7243,09_Tokyo_S2.jpg,21,383,548,720,p31,color
71759,7627,09_Tokyo_S2.jpg,22,300,889,598,p31,color
71760,7926,09_Tokyo_S2.jpg,23,133,1016,611,p31,color
71761,8060,09_Tokyo_S2.jpg,24,217,1190,638,p31,color
71762,8276,09_Tokyo_S2.jpg,25,133,1231,655,p31,color
71763,8409,09_Tokyo_S2.jpg,26,283,1511,587,p31,color
71764,8692,09_Tokyo_S2.jpg,27,183,1509,401,p31,color
71765,8876,09_Tokyo_S2.jpg,28,816,1509,301,p31,color
71766,13706,17_Krakau_S2.jpg,40,150,1022,625,p31,color
71767,13856,17_Krakau_S2.jpg,41,150,1006,547,p31,color
71768,14006,17_Krakau_S2.jpg,42,200,1017,1039,p31,color
71769,14205,17_Krakau_S2.jpg,43,216,1031,1000,p31,color
71770,14422,17_Krakau_S2.jpg,44,133,1068,922,p31,color
71771,14555,17_Krakau_S2.jpg,45,183,1007,1065,p31,color
71772,14905,17_Krakau_S2.jpg,46,100,1117,963,p31,color
71773,15005,17_Krakau_S2.jpg,47,167,1081,768,p31,color
71774,15171,17_Krakau_S2.jpg,48,150,978,701,p31,color
71775,15321,17_Krakau_S2.jpg,49,183,893,468,p31,color
71776,15505,17_Krakau_S2.jpg,50,200,984,406,p31,color
71777,15704,17_Krakau_S2.jpg,51,450,1019,431,p31,color
71778,16154,17_Krakau_S2.jpg,52,333,1015,386,p31,color
71779,16487,17_Krakau_S2.jpg,53,117,1026,460,p31,color
71780,16604,17_Krakau_S2.jpg,54,516,1000,402,p31,color
71781,17120,17_Krakau_S2.jpg,55,300,1033,383,p31,color
71782,17420,17_Krakau_S2.jpg,56,283,1041,328,p31,color
71783,17703,17_Krakau_S2.jpg,57,266,1035,291,p31,color
71784,17970,17_Krakau_S2.jpg,58,250,1082,315,p31,color
71785,18219,17_Krakau_S2.jpg,59,416,1232,397,p31,color
71786,18636,17_Krakau_S2.jpg,60,783,1032,305,p31,color
71787,19418,17_Krakau_S2.jpg,61,616,1256,422,p31,color
71788,20035,17_Krakau_S2.jpg,62,166,1272,495,p31,color
71789,20201,17_Krakau_S2.jpg,63,183,1245,541,p31,color
71790,20385,17_Krakau_S2.jpg,64,133,1204,548,p31,color
71791,20518,17_Krakau_S2.jpg,65,583,1268,450,p31,color
71792,21101,17_Krakau_S2.jpg,66,733,1056,320,p31,color
71793,21834,17_Krakau_S2.jpg,67,133,1175,388,p31,color
71794,21967,17_Krakau_S2.jpg,68,550,1253,396,p31,color
71795,22516,17_Krakau_S2.jpg,69,2315,1279,470,p31,color
71796,24832,17_Krakau_S2.jpg,70,1632,1268,429,p31,color
