Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
6768,7067,04_Köln_S1.jpg,25,166,102,688,p12,color
6769,7233,04_Köln_S1.jpg,26,167,1508,136,p12,color
6770,7400,04_Köln_S1.jpg,27,200,1433,181,p12,color
6771,7600,04_Köln_S1.jpg,28,183,1473,76,p12,color
6772,7783,04_Köln_S1.jpg,29,416,1484,144,p12,color
6773,8199,04_Köln_S1.jpg,30,266,733,625,p12,color
6774,8466,04_Köln_S1.jpg,31,200,620,809,p12,color
6775,8666,04_Köln_S1.jpg,32,116,88,804,p12,color
6776,8782,04_Köln_S1.jpg,33,167,124,816,p12,color
6777,8949,04_Köln_S1.jpg,34,450,194,808,p12,color
6778,9398,04_Köln_S1.jpg,35,550,65,764,p12,color
6779,9948,04_Köln_S1.jpg,36,216,719,793,p12,color
6780,10164,04_Köln_S1.jpg,37,250,1024,729,p12,color
6781,10414,04_Köln_S1.jpg,38,233,1175,636,p12,color
6782,10647,04_Köln_S1.jpg,39,233,1128,640,p12,color
6783,10881,04_Köln_S1.jpg,40,799,1107,682,p12,color
6784,11830,04_Köln_S1.jpg,41,167,1138,629,p12,color
6785,11997,04_Köln_S1.jpg,42,616,1218,698,p12,color
6786,12613,04_Köln_S1.jpg,43,183,1130,627,p12,color
6787,12796,04_Köln_S1.jpg,44,366,1084,586,p12,color
6788,13162,04_Köln_S1.jpg,45,283,1148,575,p12,color
6789,13445,04_Köln_S1.jpg,46,200,1202,408,p12,color
6790,13645,04_Köln_S1.jpg,47,200,1145,561,p12,color
6791,13845,04_Köln_S1.jpg,48,200,1132,613,p12,color
6792,14045,04_Köln_S1.jpg,49,167,1144,659,p12,color
6793,14212,04_Köln_S1.jpg,50,283,1458,675,p12,color
6794,14495,04_Köln_S1.jpg,51,316,1379,266,p12,color
6795,14811,04_Köln_S1.jpg,52,167,1304,334,p12,color
6796,14978,04_Köln_S1.jpg,53,366,1405,209,p12,color
6797,15344,04_Köln_S1.jpg,54,183,1187,565,p12,color
6798,15528,04_Köln_S1.jpg,55,216,908,588,p12,color
6799,15744,04_Köln_S1.jpg,56,233,823,563,p12,color
6800,16078,04_Köln_S1.jpg,57,216,733,450,p12,color
6801,16294,04_Köln_S1.jpg,58,183,652,510,p12,color
6802,16477,04_Köln_S1.jpg,59,183,521,764,p12,color
6803,16660,04_Köln_S1.jpg,60,400,530,814,p12,color
6804,17060,04_Köln_S1.jpg,61,216,697,378,p12,color
6805,17276,04_Köln_S1.jpg,62,316,734,430,p12,color
6806,17593,04_Köln_S1.jpg,63,183,782,457,p12,color
6807,17776,04_Köln_S1.jpg,64,250,1156,475,p12,color
6808,18026,04_Köln_S1.jpg,65,217,1326,359,p12,color
6809,18242,04_Köln_S1.jpg,66,583,1372,231,p12,color
6810,18825,04_Köln_S1.jpg,67,316,1476,159,p12,color
6811,19142,04_Köln_S1.jpg,68,233,1401,200,p12,color
