Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
4578,4072,09_Tokyo_S2.jpg,8,266,257,959,p11,color
4579,4338,09_Tokyo_S2.jpg,9,133,301,984,p11,color
4580,4471,09_Tokyo_S2.jpg,10,300,262,987,p11,color
4581,4771,09_Tokyo_S2.jpg,11,133,541,855,p11,color
4582,4904,09_Tokyo_S2.jpg,12,233,681,770,p11,color
4583,5138,09_Tokyo_S2.jpg,13,150,851,757,p11,color
4584,5287,09_Tokyo_S2.jpg,14,600,874,596,p11,color
4585,5887,09_Tokyo_S2.jpg,15,233,897,421,p11,color
4586,6120,09_Tokyo_S2.jpg,16,316,902,385,p11,color
4587,6437,09_Tokyo_S2.jpg,17,233,1116,383,p11,color
4588,6670,09_Tokyo_S2.jpg,18,250,911,350,p11,color
4589,6920,09_Tokyo_S2.jpg,19,200,1107,168,p11,color
4590,7120,09_Tokyo_S2.jpg,20,200,1295,101,p11,color
4591,7319,09_Tokyo_S2.jpg,21,183,1443,123,p11,color
4592,7619,09_Tokyo_S2.jpg,22,200,1423,124,p11,color
4593,8002,09_Tokyo_S2.jpg,23,416,1418,122,p11,color
4594,8419,09_Tokyo_S2.jpg,24,100,1481,148,p11,color
4595,8685,09_Tokyo_S2.jpg,25,33,1538,176,p11,color
4596,8902,09_Tokyo_S2.jpg,26,150,1443,127,p11,color
4597,9251,09_Tokyo_S2.jpg,27,200,1422,117,p11,color
4598,9618,09_Tokyo_S2.jpg,28,117,1463,144,p11,color
4599,9734,09_Tokyo_S2.jpg,29,133,1423,115,p11,color
4600,10217,09_Tokyo_S2.jpg,30,33,1435,119,p11,color
4601,11900,09_Tokyo_S2.jpg,31,83,912,286,p11,color
4602,11983,09_Tokyo_S2.jpg,32,383,840,510,p11,color
4603,14831,20_Paris_S2.jpg,39,250,657,889,p11,color
4604,15081,20_Paris_S2.jpg,40,250,533,800,p11,color
4605,15331,20_Paris_S2.jpg,41,300,893,755,p11,color
4606,15630,20_Paris_S2.jpg,42,166,884,797,p11,color
4607,15797,20_Paris_S2.jpg,43,250,920,797,p11,color
4608,16047,20_Paris_S2.jpg,44,316,893,704,p11,color
4609,16363,20_Paris_S2.jpg,45,266,562,826,p11,color
4610,16630,20_Paris_S2.jpg,46,166,517,784,p11,color
4611,16796,20_Paris_S2.jpg,47,233,608,891,p11,color
4612,17030,20_Paris_S2.jpg,48,183,515,735,p11,color
4613,17213,20_Paris_S2.jpg,49,250,466,501,p11,color
4614,17463,20_Paris_S2.jpg,50,283,419,370,p11,color
4615,17746,20_Paris_S2.jpg,51,217,412,312,p11,color
4616,17962,20_Paris_S2.jpg,52,833,632,904,p11,color
4617,18795,20_Paris_S2.jpg,53,233,584,921,p11,color
4618,19028,20_Paris_S2.jpg,54,166,636,898,p11,color
4619,19195,20_Paris_S2.jpg,55,200,474,505,p11,color
4620,19395,20_Paris_S2.jpg,56,167,427,371,p11,color
4621,19561,20_Paris_S2.jpg,57,250,420,302,p11,color
4622,19811,20_Paris_S2.jpg,58,100,458,251,p11,color
4623,19911,20_Paris_S2.jpg,59,250,485,278,p11,color
4624,22209,16_Hong_Kong_S2.jpg,67,266,468,581,p11,color
4625,22476,16_Hong_Kong_S2.jpg,68,133,610,564,p11,color
4626,22609,16_Hong_Kong_S2.jpg,69,283,488,565,p11,color
4627,22892,16_Hong_Kong_S2.jpg,70,166,448,573,p11,color
4628,23059,16_Hong_Kong_S2.jpg,71,566,562,569,p11,color
4629,23625,16_Hong_Kong_S2.jpg,72,133,616,634,p11,color
4630,23758,16_Hong_Kong_S2.jpg,73,216,462,585,p11,color
4631,23975,16_Hong_Kong_S2.jpg,74,266,637,678,p11,color
4632,24241,16_Hong_Kong_S2.jpg,75,167,656,744,p11,color
4633,24408,16_Hong_Kong_S2.jpg,76,466,636,628,p11,color
4634,24991,16_Hong_Kong_S2.jpg,77,217,564,550,p11,color
4635,25207,16_Hong_Kong_S2.jpg,78,150,497,557,p11,color
4636,25357,16_Hong_Kong_S2.jpg,79,283,544,565,p11,color
4637,25640,16_Hong_Kong_S2.jpg,80,266,647,574,p11,color
4638,25907,16_Hong_Kong_S2.jpg,81,233,908,578,p11,color
4639,26140,16_Hong_Kong_S2.jpg,82,216,962,615,p11,color
4640,26357,16_Hong_Kong_S2.jpg,83,200,977,719,p11,color
4641,26556,16_Hong_Kong_S2.jpg,84,283,501,567,p11,color
4642,26840,16_Hong_Kong_S2.jpg,85,350,439,549,p11,color
4643,27189,16_Hong_Kong_S2.jpg,86,750,537,564,p11,color
4644,28056,16_Hong_Kong_S2.jpg,87,183,438,550,p11,color
4645,28389,16_Hong_Kong_S2.jpg,88,100,456,561,p11,color
4646,28489,16_Hong_Kong_S2.jpg,89,416,558,568,p11,color
4647,28905,16_Hong_Kong_S2.jpg,90,333,630,651,p11,color
4648,29238,16_Hong_Kong_S2.jpg,91,683,552,571,p11,color
4649,30071,16_Hong_Kong_S2.jpg,92,83,553,579,p11,color
4650,30154,16_Hong_Kong_S2.jpg,93,300,648,667,p11,color
4651,30454,16_Hong_Kong_S2.jpg,94,683,649,785,p11,color
4652,31137,16_Hong_Kong_S2.jpg,95,266,644,650,p11,color
4653,31403,16_Hong_Kong_S2.jpg,96,633,569,565,p11,color
4654,32036,16_Hong_Kong_S2.jpg,97,400,655,573,p11,color
4655,32436,16_Hong_Kong_S2.jpg,98,200,853,582,p11,color
4656,32636,16_Hong_Kong_S2.jpg,99,217,1003,594,p11,color
4657,32852,16_Hong_Kong_S2.jpg,100,550,978,635,p11,color
4658,33402,16_Hong_Kong_S2.jpg,101,466,807,430,p11,color
4659,35734,02_Berlin_S2.jpg,104,216,776,460,p11,color
4660,35950,02_Berlin_S2.jpg,105,217,793,174,p11,color
4661,36167,02_Berlin_S2.jpg,106,100,764,91,p11,color
4662,36267,02_Berlin_S2.jpg,107,400,792,118,p11,color
4663,36667,02_Berlin_S2.jpg,108,100,768,60,p11,color
4664,36766,02_Berlin_S2.jpg,109,383,898,167,p11,color
4665,37149,02_Berlin_S2.jpg,110,234,1016,238,p11,color
4666,37383,02_Berlin_S2.jpg,111,1016,1165,380,p11,color
4667,38398,02_Berlin_S2.jpg,112,250,1089,527,p11,color
4668,38648,02_Berlin_S2.jpg,113,250,923,584,p11,color
4669,38898,02_Berlin_S2.jpg,114,166,818,637,p11,color
4670,39065,02_Berlin_S2.jpg,115,366,868,650,p11,color
4671,39431,02_Berlin_S2.jpg,116,300,772,656,p11,color
4672,39731,02_Berlin_S2.jpg,117,250,721,631,p11,color
4673,39981,02_Berlin_S2.jpg,118,233,684,599,p11,color
4674,40214,02_Berlin_S2.jpg,119,966,714,625,p11,color
4675,41180,02_Berlin_S2.jpg,120,533,717,769,p11,color
4676,41713,02_Berlin_S2.jpg,121,650,780,778,p11,color
4677,42546,02_Berlin_S2.jpg,122,366,706,778,p11,color
4678,42912,02_Berlin_S2.jpg,123,400,781,780,p11,color
4679,43312,02_Berlin_S2.jpg,124,916,771,495,p11,color
4680,46027,03_Bordeaux_S2.jpg,129,233,876,717,p11,color
4681,46260,03_Bordeaux_S2.jpg,130,233,978,757,p11,color
4682,46493,03_Bordeaux_S2.jpg,131,1099,1118,770,p11,color
4683,47592,03_Bordeaux_S2.jpg,132,217,1172,600,p11,color
4684,47809,03_Bordeaux_S2.jpg,133,216,1262,387,p11,color
4685,48025,03_Bordeaux_S2.jpg,134,266,1258,226,p11,color
4686,48292,03_Bordeaux_S2.jpg,135,583,1256,436,p11,color
4687,48875,03_Bordeaux_S2.jpg,136,600,1310,426,p11,color
4688,49474,03_Bordeaux_S2.jpg,137,100,1290,456,p11,color
4689,49691,03_Bordeaux_S2.jpg,138,1499,1263,438,p11,color
4690,51190,03_Bordeaux_S2.jpg,139,333,1243,482,p11,color
4691,51523,03_Bordeaux_S2.jpg,140,233,1271,429,p11,color
4692,51756,03_Bordeaux_S2.jpg,141,233,634,841,p11,color
4693,51989,03_Bordeaux_S2.jpg,142,116,584,856,p11,color
4694,52106,03_Bordeaux_S2.jpg,143,200,917,730,p11,color
4695,52306,03_Bordeaux_S2.jpg,144,300,1004,780,p11,color
4696,52606,03_Bordeaux_S2.jpg,145,799,1110,784,p11,color
4697,53405,03_Bordeaux_S2.jpg,146,516,1005,787,p11,color
4698,53921,03_Bordeaux_S2.jpg,147,300,1092,781,p11,color
4699,54221,03_Bordeaux_S2.jpg,148,150,739,752,p11,color
4700,54371,03_Bordeaux_S2.jpg,149,200,652,852,p11,color
4701,54571,03_Bordeaux_S2.jpg,150,266,1079,781,p11,color
4702,54837,03_Bordeaux_S2.jpg,151,217,1193,548,p11,color
4703,55054,03_Bordeaux_S2.jpg,152,600,1131,750,p11,color
4704,55653,03_Bordeaux_S2.jpg,153,266,1227,589,p11,color
4705,55920,03_Bordeaux_S2.jpg,154,616,1269,442,p11,color
4706,56536,03_Bordeaux_S2.jpg,155,866,1320,434,p11,color
4707,57536,03_Bordeaux_S2.jpg,156,150,1315,435,p11,color
4708,57885,03_Bordeaux_S2.jpg,157,799,1312,449,p11,color
4709,58685,03_Bordeaux_S2.jpg,158,183,1263,406,p11,color
4710,58868,03_Bordeaux_S2.jpg,159,316,1259,212,p11,color
4711,59368,03_Bordeaux_S2.jpg,160,366,1317,436,p11,color
4712,60001,03_Bordeaux_S2.jpg,161,949,1318,439,p11,color
4713,60950,03_Bordeaux_S2.jpg,162,167,1274,441,p11,color
4714,61116,03_Bordeaux_S2.jpg,163,1049,1255,207,p11,color
4715,62282,03_Bordeaux_S2.jpg,164,250,1273,204,p11,color
4716,62749,03_Bordeaux_S2.jpg,165,83,1313,373,p11,color
4717,65447,11_Bologna_S2.jpg,172,283,810,863,p11,color
4718,65730,11_Bologna_S2.jpg,173,233,1373,402,p11,color
4719,65963,11_Bologna_S2.jpg,174,250,1468,354,p11,color
4720,66213,11_Bologna_S2.jpg,175,183,1388,344,p11,color
4721,66396,11_Bologna_S2.jpg,176,716,1510,321,p11,color
4722,67112,11_Bologna_S2.jpg,177,200,1009,938,p11,color
4723,67312,11_Bologna_S2.jpg,178,200,907,855,p11,color
4724,67512,11_Bologna_S2.jpg,179,283,845,950,p11,color
4725,67795,11_Bologna_S2.jpg,180,300,796,849,p11,color
4726,68095,11_Bologna_S2.jpg,181,150,716,833,p11,color
4727,68245,11_Bologna_S2.jpg,182,316,725,653,p11,color
4728,68561,11_Bologna_S2.jpg,183,300,811,633,p11,color
4729,68861,11_Bologna_S2.jpg,184,283,908,633,p11,color
4730,69144,11_Bologna_S2.jpg,185,266,1018,642,p11,color
4731,69411,11_Bologna_S2.jpg,186,500,1095,647,p11,color
4732,69911,11_Bologna_S2.jpg,187,316,1177,707,p11,color
4733,70227,11_Bologna_S2.jpg,188,250,1174,827,p11,color
4734,70477,11_Bologna_S2.jpg,189,566,1130,841,p11,color
4735,71043,11_Bologna_S2.jpg,190,283,1174,795,p11,color
4736,71326,11_Bologna_S2.jpg,191,200,1081,875,p11,color
4737,71526,11_Bologna_S2.jpg,192,300,952,873,p11,color
4738,71976,11_Bologna_S2.jpg,193,216,1049,978,p11,color
4739,72192,11_Bologna_S2.jpg,194,400,1071,1014,p11,color
4740,72592,11_Bologna_S2.jpg,195,200,1091,977,p11,color
4741,72792,11_Bologna_S2.jpg,196,266,1091,891,p11,color
4742,73058,11_Bologna_S2.jpg,197,167,1086,829,p11,color
4743,73225,11_Bologna_S2.jpg,198,150,1394,552,p11,color
4744,73375,11_Bologna_S2.jpg,199,200,1456,375,p11,color
4745,73575,11_Bologna_S2.jpg,200,200,1440,328,p11,color
4746,73775,11_Bologna_S2.jpg,201,167,1507,328,p11,color
4747,73941,11_Bologna_S2.jpg,202,200,1443,318,p11,color
4748,74141,11_Bologna_S2.jpg,203,483,1510,326,p11,color
4749,74624,11_Bologna_S2.jpg,204,183,1430,334,p11,color
4750,74807,11_Bologna_S2.jpg,205,200,1507,308,p11,color
4751,75007,11_Bologna_S2.jpg,206,383,1342,362,p11,color
4752,75390,11_Bologna_S2.jpg,207,383,1331,419,p11,color
4753,75773,11_Bologna_S2.jpg,208,217,1432,352,p11,color
4754,75990,11_Bologna_S2.jpg,209,216,1315,352,p11,color
4755,76206,11_Bologna_S2.jpg,210,300,1234,390,p11,color
4756,76506,11_Bologna_S2.jpg,211,217,1142,437,p11,color
4757,76723,11_Bologna_S2.jpg,212,233,997,448,p11,color
4758,76956,11_Bologna_S2.jpg,213,266,885,454,p11,color
4759,77222,11_Bologna_S2.jpg,214,167,840,543,p11,color
4760,77389,11_Bologna_S2.jpg,215,550,686,554,p11,color
4761,77938,11_Bologna_S2.jpg,216,500,627,556,p11,color
4762,78438,11_Bologna_S2.jpg,217,783,575,520,p11,color
4763,79388,11_Bologna_S2.jpg,218,133,549,509,p11,color
4764,79738,11_Bologna_S2.jpg,219,1799,549,500,p11,color
4765,81536,11_Bologna_S2.jpg,220,616,460,398,p11,color
4766,82369,11_Bologna_S2.jpg,221,716,467,405,p11,color
4767,83085,11_Bologna_S2.jpg,222,266,566,481,p11,color
4768,83351,11_Bologna_S2.jpg,223,133,592,539,p11,color
4769,83485,11_Bologna_S2.jpg,224,216,708,632,p11,color
4770,83701,11_Bologna_S2.jpg,225,433,676,590,p11,color
4771,84134,11_Bologna_S2.jpg,226,133,748,618,p11,color
4772,84268,11_Bologna_S2.jpg,227,600,881,652,p11,color
4773,84867,11_Bologna_S2.jpg,228,316,821,629,p11,color
4774,85184,11_Bologna_S2.jpg,229,333,764,622,p11,color
4775,85517,11_Bologna_S2.jpg,230,300,846,631,p11,color
4776,85816,11_Bologna_S2.jpg,231,383,892,721,p11,color
4777,86200,11_Bologna_S2.jpg,232,400,885,758,p11,color
