Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
9573,4983,20_Paris_S1.jpg,13,383,1006,843,p13,color
9574,5366,20_Paris_S1.jpg,14,416,1133,833,p13,color
9575,5783,20_Paris_S1.jpg,15,450,1213,832,p13,color
9576,6232,20_Paris_S1.jpg,16,466,1211,793,p13,color
9577,6699,20_Paris_S1.jpg,17,200,1207,626,p13,color
9578,6899,20_Paris_S1.jpg,18,799,1224,501,p13,color
9579,7698,20_Paris_S1.jpg,19,167,1267,451,p13,color
9580,7865,20_Paris_S1.jpg,20,1382,1343,386,p13,color
9581,9247,20_Paris_S1.jpg,21,300,1363,436,p13,color
9582,9547,20_Paris_S1.jpg,22,400,1409,463,p13,color
9583,9947,20_Paris_S1.jpg,23,200,1091,802,p13,color
9584,10147,20_Paris_S1.jpg,24,150,1065,831,p13,color
9585,10296,20_Paris_S1.jpg,25,233,1010,830,p13,color
9586,10530,20_Paris_S1.jpg,26,766,1200,827,p13,color
9587,11296,20_Paris_S1.jpg,27,483,1111,813,p13,color
9588,11779,20_Paris_S1.jpg,28,300,923,807,p13,color
9589,12079,20_Paris_S1.jpg,29,200,1010,763,p13,color
9590,12278,20_Paris_S1.jpg,30,366,883,713,p13,color
9591,12645,20_Paris_S1.jpg,31,150,847,533,p13,color
9592,12795,20_Paris_S1.jpg,32,167,887,438,p13,color
9593,12961,20_Paris_S1.jpg,33,416,948,377,p13,color
9594,13378,20_Paris_S1.jpg,34,150,1026,300,p13,color
9595,13528,20_Paris_S1.jpg,35,316,1368,389,p13,color
9596,13844,20_Paris_S1.jpg,36,183,1141,731,p13,color
9597,14027,20_Paris_S1.jpg,37,550,1018,836,p13,color
9598,14577,20_Paris_S1.jpg,38,400,998,803,p13,color
9599,18541,05_Frankfurt_S1.jpg,46,383,497,261,p13,color
9600,18924,05_Frankfurt_S1.jpg,47,200,661,365,p13,color
9601,19124,05_Frankfurt_S1.jpg,48,166,860,403,p13,color
9602,19290,05_Frankfurt_S1.jpg,49,166,1021,509,p13,color
9603,19457,05_Frankfurt_S1.jpg,50,183,1089,587,p13,color
9604,19640,05_Frankfurt_S1.jpg,51,350,1146,606,p13,color
9605,19990,05_Frankfurt_S1.jpg,52,1016,1144,679,p13,color
9606,21006,05_Frankfurt_S1.jpg,53,233,926,723,p13,color
9607,21239,05_Frankfurt_S1.jpg,54,250,760,802,p13,color
9608,21489,05_Frankfurt_S1.jpg,55,550,856,737,p13,color
9609,22038,05_Frankfurt_S1.jpg,56,166,747,770,p13,color
9610,22205,05_Frankfurt_S1.jpg,57,200,690,891,p13,color
9611,22405,05_Frankfurt_S1.jpg,58,217,696,951,p13,color
9612,22621,05_Frankfurt_S1.jpg,59,150,744,802,p13,color
9613,22771,05_Frankfurt_S1.jpg,60,216,900,735,p13,color
9614,22988,05_Frankfurt_S1.jpg,61,150,1044,698,p13,color
9615,23138,05_Frankfurt_S1.jpg,62,250,1099,710,p13,color
9616,23388,05_Frankfurt_S1.jpg,63,466,839,748,p13,color
9617,23854,05_Frankfurt_S1.jpg,64,200,789,741,p13,color
9618,24054,05_Frankfurt_S1.jpg,65,233,715,785,p13,color
9619,24287,05_Frankfurt_S1.jpg,66,183,686,869,p13,color
9620,24470,05_Frankfurt_S1.jpg,67,533,691,956,p13,color
9621,25003,05_Frankfurt_S1.jpg,68,400,688,1018,p13,color
9622,25403,05_Frankfurt_S1.jpg,69,166,736,792,p13,color
9623,25569,05_Frankfurt_S1.jpg,70,450,870,743,p13,color
9624,26019,05_Frankfurt_S1.jpg,71,666,886,680,p13,color
9625,26685,05_Frankfurt_S1.jpg,72,216,1108,639,p13,color
9626,26902,05_Frankfurt_S1.jpg,73,283,861,624,p13,color
9627,27185,05_Frankfurt_S1.jpg,74,167,670,581,p13,color
9628,27352,05_Frankfurt_S1.jpg,75,116,610,503,p13,color
9629,27468,05_Frankfurt_S1.jpg,76,400,606,370,p13,color
9630,27868,05_Frankfurt_S1.jpg,77,250,559,386,p13,color
9631,28118,05_Frankfurt_S1.jpg,78,250,715,469,p13,color
9632,28368,05_Frankfurt_S1.jpg,79,416,875,631,p13,color
9633,28784,05_Frankfurt_S1.jpg,80,200,952,681,p13,color
9634,28984,05_Frankfurt_S1.jpg,81,300,1123,688,p13,color
9635,29284,05_Frankfurt_S1.jpg,82,266,912,723,p13,color
9636,29550,05_Frankfurt_S1.jpg,83,483,804,782,p13,color
9637,32914,02_Berlin_S1.jpg,96,167,1036,696,p13,color
9638,33081,02_Berlin_S1.jpg,97,350,1131,763,p13,color
9639,33431,02_Berlin_S1.jpg,98,233,1002,731,p13,color
9640,33664,02_Berlin_S1.jpg,99,200,1097,738,p13,color
9641,33864,02_Berlin_S1.jpg,100,350,181,283,p13,color
9642,34214,02_Berlin_S1.jpg,101,283,160,219,p13,color
9643,34497,02_Berlin_S1.jpg,102,200,613,475,p13,color
9644,34697,02_Berlin_S1.jpg,103,117,716,528,p13,color
9645,34813,02_Berlin_S1.jpg,104,216,882,627,p13,color
9646,35030,02_Berlin_S1.jpg,105,167,938,666,p13,color
9647,35196,02_Berlin_S1.jpg,106,383,1074,735,p13,color
9648,35579,02_Berlin_S1.jpg,107,150,1037,704,p13,color
9649,35729,02_Berlin_S1.jpg,108,216,1116,734,p13,color
9650,35946,02_Berlin_S1.jpg,109,283,1005,682,p13,color
9651,36229,02_Berlin_S1.jpg,110,450,924,671,p13,color
