Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
24542,5583,14_Düsseldorf_S1.jpg,15,333,333,314,p17,color
24543,5916,14_Düsseldorf_S1.jpg,16,183,362,424,p17,color
24544,6099,14_Düsseldorf_S1.jpg,17,283,318,536,p17,color
24545,6382,14_Düsseldorf_S1.jpg,18,183,371,608,p17,color
24546,6565,14_Düsseldorf_S1.jpg,19,266,527,657,p17,color
24547,6832,14_Düsseldorf_S1.jpg,20,1466,558,680,p17,color
24548,8297,14_Düsseldorf_S1.jpg,21,183,688,798,p17,color
24549,8481,14_Düsseldorf_S1.jpg,22,216,671,855,p17,color
24550,8697,14_Düsseldorf_S1.jpg,23,300,708,877,p17,color
24551,8997,14_Düsseldorf_S1.jpg,24,1366,534,698,p17,color
24552,10363,14_Düsseldorf_S1.jpg,25,1099,713,879,p17,color
24553,11462,14_Düsseldorf_S1.jpg,26,216,396,346,p17,color
24554,11678,14_Düsseldorf_S1.jpg,27,1083,316,136,p17,color
24555,15842,24_Zürich_S1.jpg,35,133,1018,842,p17,color
24556,15975,24_Zürich_S1.jpg,36,316,977,644,p17,color
24557,16292,24_Zürich_S1.jpg,37,167,987,565,p17,color
24558,16458,24_Zürich_S1.jpg,38,167,988,455,p17,color
24559,16625,24_Zürich_S1.jpg,39,233,930,360,p17,color
24560,16858,24_Zürich_S1.jpg,40,666,865,302,p17,color
24561,17524,24_Zürich_S1.jpg,41,550,592,433,p17,color
24562,18074,24_Zürich_S1.jpg,42,316,700,555,p17,color
24563,18390,24_Zürich_S1.jpg,43,450,699,626,p17,color
24564,18840,24_Zürich_S1.jpg,44,549,699,735,p17,color
24565,19390,24_Zürich_S1.jpg,45,150,697,623,p17,color
24566,19540,24_Zürich_S1.jpg,46,383,721,836,p17,color
24567,19923,24_Zürich_S1.jpg,47,183,737,881,p17,color
24568,20106,24_Zürich_S1.jpg,48,3947,1039,860,p17,color
24569,24053,24_Zürich_S1.jpg,49,583,995,847,p17,color
24570,24636,24_Zürich_S1.jpg,50,716,1101,878,p17,color
24571,25352,24_Zürich_S1.jpg,51,316,1049,862,p17,color
24572,25869,24_Zürich_S1.jpg,52,599,1040,848,p17,color
24573,26468,24_Zürich_S1.jpg,53,700,974,849,p17,color
24574,27168,24_Zürich_S1.jpg,54,4214,1034,857,p17,color
24575,31382,24_Zürich_S1.jpg,55,400,967,848,p17,color
24576,31781,24_Zürich_S1.jpg,56,683,1018,888,p17,color
24577,32464,24_Zürich_S1.jpg,57,350,959,901,p17,color
24578,32814,24_Zürich_S1.jpg,58,283,720,888,p17,color
24579,33097,24_Zürich_S1.jpg,59,166,689,860,p17,color
24580,33264,24_Zürich_S1.jpg,60,266,634,815,p17,color
24581,33530,24_Zürich_S1.jpg,61,550,569,813,p17,color
24582,34080,24_Zürich_S1.jpg,62,799,623,809,p17,color
24583,34879,24_Zürich_S1.jpg,63,250,710,869,p17,color
24584,35129,24_Zürich_S1.jpg,64,1099,1025,871,p17,color
24585,36228,24_Zürich_S1.jpg,65,200,775,908,p17,color
